School Name,SAT Average Overall,% Male Students Completed within 2yrs,% Male Students Completed within 3yrs,% Male Students Completed within 4yrs,% Male Students Completed within 6yrs,% Male Students Completed within 8yrs,% Male Students Withdrawn by 2yrs,% Male Students Withdrawn by 3yrs,% Male Students Withdrawn by 4yrs,% Male Students Withdrawn by 6yrs,% Male Students Withdrawn by 8yrs,% Female Students Completed within 2yrs,% Female Students Completed within 3yrs,% Female Students Completed within 4yrs,% Female Students Completed within 6yrs,% Female Students Completed within 8yrs,% Female Students Withdrawn by 2yrs,% Female Students Withdrawn by 3yrs,% Female Students Withdrawn by 4yrs,% Female Students Withdrawn by 6yrs,% Female Students Withdrawn by 8yrs,School_Id,School Latitude,School Longitude
Haverford College,1494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21291100,4000.75,-7530.52
Holy Family University,1075.0,22.15,43.84,59.84,51.11,58.09,17.09,13.01,16.54,13.33,11.03,28.29,58.39,62.75,64.62,62.77,9.43,8.72,10.78,6.96,7.88,21298400,4006.06,-7498.65
Immaculata University,1161.0,10.58,37.66,61.62,62.6,54.87,20.19,14.29,10.1,10.69,21.24,14.17,47.06,59.51,67.8,65.38,14.17,12.87,8.5,7.12,7.93,21301100,4002.8,-7557.07
Indiana University of Pennsylvania-Main Campus,1044.0,10.11,27.33,44.79,43.93,44.68,26.43,28.48,27.15,26.69,25.67,6.68,35.99,55.34,55.78,51.01,15.77,16.0,14.7,15.48,15.65,21302000,4061.75,-7915.93
Keystone College,1045.0,14.2,30.63,44.87,44.97,38.35,23.67,25.62,21.79,25.93,28.64,12.74,41.92,42.24,46.34,34.23,22.39,17.47,25.86,20.21,19.22,21330300,4155.9,-7577.75
Kutztown University of Pennsylvania,1095.0,9.87,30.83,43.85,48.43,49.24,21.04,25.34,27.05,24.85,21.07,12.5,42.39,54.01,56.69,56.28,13.25,17.96,16.44,12.08,10.45,21334900,4051.36,-7578.39
La Roche University,1062.0,20.93,43.75,54.33,57.02,51.9,16.28,16.41,14.17,16.53,16.46,24.73,55.77,64.29,67.02,58.44,11.29,11.06,5.8,7.33,7.41,21335800,4056.86,-8001.49
Lafayette College,1396.0,0.0,88.57,85.44,0.0,86.86,0.0,0.0,0.0,0.0,0.0,0.0,86.23,86.52,0.0,92.16,0.0,0.0,0.0,0.0,0.0,21338500,4069.96,-7520.98
Lancaster Bible College,1114.0,14.11,38.43,47.49,42.77,54.09,35.68,31.02,33.33,35.22,25.79,17.57,47.42,50.72,52.63,57.14,19.82,20.66,29.19,17.54,19.55,21340000,4007.53,-7628.78
Lebanon Valley College,1184.0,6.19,44.44,59.52,65.95,65.55,10.95,12.78,11.43,0.0,9.57,4.68,50.43,63.98,79.7,70.97,10.21,11.54,7.63,0.0,6.05,21350700,4033.06,-7651.44
Lehigh University,1422.0,4.86,76.4,78.99,86.38,82.4,0.0,0.0,7.45,0.0,0.0,5.94,87.54,88.41,88.06,86.04,0.0,0.0,6.16,0.0,0.0,21354300,4060.68,-7538.02
Lincoln University,983.0,0.0,18.47,35.04,27.72,32.72,33.47,33.33,26.07,31.52,22.12,0.0,37.3,46.74,51.67,42.21,18.18,17.72,20.11,18.33,14.61,21359800,3980.77,-7592.65
Lock Haven University,1085.0,6.67,33.49,46.36,45.38,52.57,33.07,24.15,23.64,26.9,18.66,13.23,39.25,56.49,52.31,57.14,20.82,17.92,14.4,14.53,11.31,21361300,4114.15,-7746.01
Lycoming College,1172.0,0.0,41.52,53.01,46.56,57.49,16.67,19.3,14.46,17.56,14.37,0.0,63.51,71.52,64.09,61.67,14.17,9.46,8.23,9.39,6.61,21366800,4124.67,-7700.0
Mansfield University of Pennsylvania,1061.0,9.83,34.05,44.94,43.18,45.65,22.54,30.17,25.51,26.7,21.47,13.47,43.31,43.11,47.88,54.9,16.5,12.5,21.56,18.93,13.47,21378300,4180.75,-7707.39
Marywood University,1118.0,10.65,47.62,57.02,57.74,63.41,13.02,11.11,19.83,15.48,9.76,11.78,57.61,65.69,70.46,67.39,7.25,6.8,9.97,9.23,5.76,21382600,4143.46,-7563.41
Messiah University,1230.0,7.66,68.3,73.49,75.86,75.7,4.03,8.93,5.58,5.17,6.77,8.59,70.28,72.53,77.99,78.93,5.54,4.17,3.57,3.9,3.55,21399600,4015.66,-7698.83
Millersville University of Pennsylvania,1110.0,7.71,31.66,44.46,51.62,50.76,20.2,21.73,23.23,22.31,21.57,12.62,41.68,53.11,56.63,54.34,12.14,15.39,13.21,11.12,12.39,21404100,4000.03,-7635.74
Muhlenberg College,1306.0,6.17,72.19,68.07,74.05,78.83,0.0,0.0,9.64,0.0,0.0,14.06,87.56,81.58,79.91,81.47,0.0,0.0,5.26,0.0,0.0,21417500,4059.64,-7550.85
Neumann University,1002.0,10.43,36.11,42.93,44.05,49.25,22.09,18.33,27.32,22.91,18.28,8.01,40.28,52.85,56.84,59.83,16.99,14.37,9.49,9.91,7.69,21427200,3987.49,-7544.0
University of Pennsylvania,1523.0,10.18,71.76,80.04,82.33,82.45,9.92,7.87,5.83,9.15,4.72,10.53,69.25,79.07,84.58,82.53,6.04,6.98,9.72,5.72,3.39,21506200,3995.09,-7519.39
University of the Sciences,1215.0,0.0,42.73,71.13,73.55,71.43,0.0,0.0,0.0,0.0,0.0,0.0,39.49,68.39,78.08,70.27,0.0,0.0,0.0,0.0,0.0,21513200,3994.64,-7520.7
University of Pittsburgh-Bradford,1095.0,10.05,45.47,63.08,68.61,66.86,11.71,14.45,12.99,11.97,11.33,11.85,55.73,69.06,72.66,68.55,9.06,12.41,8.67,7.35,6.87,21526600,4194.34,-7867.37
University of Pittsburgh-Greensburg,1117.0,10.05,45.47,63.08,68.61,66.86,11.71,14.45,12.99,11.97,11.33,11.85,55.73,69.06,72.66,68.55,9.06,12.41,8.67,7.35,6.87,21527500,4027.64,-7953.27
University of Pittsburgh-Johnstown,1129.0,10.05,45.47,63.08,68.61,66.86,11.71,14.45,12.99,11.97,11.33,11.85,55.73,69.06,72.66,68.55,9.06,12.41,8.67,7.35,6.87,21528400,4026.6,-7883.42
University of Pittsburgh-Pittsburgh Campus,1370.0,10.05,45.47,63.08,68.61,66.86,11.71,14.45,12.99,11.97,11.33,11.85,55.73,69.06,72.66,68.55,9.06,12.41,8.67,7.35,6.87,21529300,4044.44,-7995.33
University of Pittsburgh-Titusville,1095.0,10.05,45.47,63.08,68.61,66.86,11.71,14.45,12.99,11.97,11.33,11.85,55.73,69.06,72.66,68.55,9.06,12.41,8.67,7.35,6.87,21530900,4162.87,-7966.42
Point Park University,1077.0,7.96,26.99,35.75,48.7,49.64,25.46,32.95,32.4,24.61,19.95,11.19,35.12,36.06,49.02,47.01,18.36,26.59,30.55,17.25,13.5,21544200,4043.88,-8000.21
Reading Hospital School of Health Sciences,1051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21559400,4032.61,-7595.05
Rosemont College,1084.0,0.0,28.24,49.28,44.07,21.67,29.31,24.71,28.99,0.0,31.67,0.0,39.42,42.64,48.42,22.34,19.83,10.22,13.18,0.0,32.98,21569100,4003.34,-7532.92
Saint Joseph's University,1229.0,7.8,60.84,73.9,70.87,70.26,4.57,10.1,9.62,7.77,8.39,8.87,64.35,71.64,74.0,76.04,5.44,6.03,6.63,5.82,5.42,21577000,3999.44,-7523.83
Saint Vincent College,1103.0,0.0,65.05,65.73,60.65,63.48,12.6,0.0,0.0,0.0,0.0,0.0,82.67,76.76,72.4,71.69,6.74,0.0,0.0,0.0,0.0,21579800,4029.27,-7940.38
University of Scranton,1200.0,7.19,63.9,64.86,74.35,72.27,5.0,7.16,8.11,9.74,7.58,5.73,73.11,75.89,83.09,73.69,2.75,3.33,2.63,3.3,2.21,21592900,4140.66,-7565.69
Shippensburg University of Pennsylvania,1075.0,7.68,34.48,48.04,55.05,47.66,26.52,20.19,18.14,15.56,16.45,8.35,40.3,53.98,61.81,54.12,16.41,13.23,11.65,8.14,8.45,21601000,4005.79,-7752.23
Slippery Rock University of Pennsylvania,1081.0,14.76,43.92,59.06,62.93,60.14,18.76,18.28,16.59,19.04,13.33,13.18,51.13,66.3,67.5,66.21,11.03,11.09,9.84,9.3,9.42,21603800,4106.27,-8004.6
Swarthmore College,1504.0,0.0,82.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21628700,3990.52,-7535.43
