School Name,% of Students receiving Federal Loan,Title 4 Cost Private,No.of programs offered,Tuition FT Enrollment in $,Enrollment,Highest degree awarded,SAT Writing Midpoint,SAT Math Midpoint,SAT Critical Reading Midpoint,SAT Average Overall,ACT Writing Midpoint, ACT Math Midpoint,ACT English Midpoint,ACT Cumulative Midpoint,Retention Rate FT,Completion Rate 4 year (White),Completion Rate 4 year (2 Or More Races),Completion Rate 4 year (Hawaian/Pacific Islander),Completion Rate 4 year (Hispanic),Completion Rate 4 year (Black),Completion Rate 4 year (Asian),Completion Rate 4 year (American Indian),General Completion Rate,id,Latitude,Longitutde
Palm Beach State College,5.800000000000001,0.0,0.0,1518.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.37,29.630000000000003,0.0,41.27,38.56,65.67,50.0,42.730000000000004,136358,26.61256,-80.08653
Pasco-Hernando State College,7.08,0.0,0.0,1590.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.44,36.36,0.0,31.56,37.97,50.0,66.67,34.510000000000005,136400,28.2751,-82.646727
Pensacola State College,5.41,0.0,0.0,1803.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.52,34.33,0.0,45.68,22.82,34.48,25.0,34.68,136473,30.479267,-87.200265
Pinellas Technical College-Clearwater,0.0,0.0,27.0,2151.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136491,27.911922,-82.719064
Polk State College,9.629999999999999,0.0,0.0,1373.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,37.18,34.29,0.0,32.519999999999996,19.09,53.33,0.0,32.7,136516,28.032411,-81.711873
Radford M Locklin Technical College,0.0,0.0,17.0,1136.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136659,30.648077,-87.09971
Saint Vincent de Paul Regional Seminary,0.0,0.0,0.0,18706.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136701,26.516538,-80.125185
Ridge Technical College,0.0,0.0,0.0,2501.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136765,28.076632,-81.654463
Ringling College of Art and Design,61.019999999999996,254.0,0.0,39190.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.17999999999999,83.19,72.72999999999999,100.0,83.93,70.0,71.88,50.0,79.36,136774,27.360931,-82.547803
Robert Morgan Educational Center and Technical College,0.0,0.0,20.0,1479.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136826,25.599247,-80.390054
Rollins College,30.220000000000002,242.0,0.0,20478.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33,72.1,60.0,0.0,66.67,85.71,60.0,50.0,75.9,136950,28.592787,-81.349239
First Coast Technical College,0.0,0.0,17.0,4315.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137023,29.924377,-81.345829
Saint Leo University,45.43,527.0,0.0,11729.0,0,4,0.0,510.0,530.0,1063.0,0.0,22.0,21.0,22.0,56.86,46.37,42.11,0.0,43.97,43.01,75.0,0.0,48.3,137032,28.336776,-82.257801
St Petersburg College,20.49,0.0,0.0,2104.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34,35.96,33.33,30.9,24.15,53.190000000000005,60.0,34.37,137078,27.90242,-82.717331
