School Name,City,Carnegie Classification Undergraduate Profile,Carnegie Size Setting,Public Average Net Price,Private Average Net Price,"Avg $75,001-$110,000 (Public)","Avg $75,000+ (Public)","Avg $48,001-$75,000 (Public)","Avg $48,001-$75,000 (All)","Avg $30,001-$75,000 (Public)","Avg $30,001-$75,000 (All)","Avg $30,001-$48,000 (Public)","Avg $30,001-$48,000 (All)","Avg $110,000+ (Public)","Avg $110,000+ (All)","Avg $0-$48,000 (Public)","Avg $0-$48,000 (Private)","Avg $0-$30,000 (Public)","Avg $0-$30,000 (Private)"
University of Alaska Southeast,Juneau,5,6,7368.0,0.0,0.0,13457.0,9920.0,0.0,6924.0,0.0,4677.0,0.0,13457.0,0,5734.0,0.0,6157.0,0.0
Alaska Pacific University,Anchorage,11,7,0.0,20550.0,0.0,0.0,0.0,19601.0,0.0,20194.0,0.0,20490.0,0.0,0,0.0,20474.0,0.0,20463.0
Alaska Vocational Technical Center,Seward,-2,-2,10337.0,0.0,16448.0,16448.0,0.0,0.0,15131.0,0.0,15131.0,0.0,0.0,0,8590.0,0.0,7500.0,0.0
Charter College,Vancouver,10,9,0.0,25372.0,0.0,0.0,0.0,26778.0,0.0,25506.0,0.0,24709.0,0.0,0,0.0,24561.0,0.0,24509.0
Alaska Career College,Anchorage,4,1,0.0,16351.0,0.0,0.0,0.0,0.0,0.0,16869.0,0.0,16869.0,0.0,0,0.0,16351.0,0.0,16177.0
Empire Beauty School-Tucson,Tucson,-2,-2,0.0,15223.0,0.0,0.0,0.0,18141.0,0.0,15462.0,0.0,13452.0,0.0,0,0.0,14556.0,0.0,14663.0
Carrington College-Phoenix North,Phoenix,4,2,0.0,28423.0,0.0,0.0,0.0,28467.0,0.0,28360.0,0.0,28331.0,0.0,0,0.0,28244.0,0.0,28213.0
Carrington College-Mesa,Mesa,4,2,0.0,42322.0,0.0,0.0,0.0,41995.0,0.0,40920.0,0.0,39845.0,0.0,0,0.0,42376.0,0.0,42883.0
Carrington College-Tucson,Tucson,4,1,0.0,40854.0,0.0,0.0,0.0,42772.0,0.0,42772.0,0.0,42772.0,0.0,0,0.0,39211.0,0.0,38617.0
Arizona Academy of Beauty,Tucson,-2,-2,0.0,11541.0,0.0,0.0,0.0,12159.0,0.0,12284.0,0.0,12534.0,0.0,0,0.0,11294.0,0.0,10984.0
Miller-Motte College-Arizona Automotive Institute,Glendale,-2,-2,0.0,22744.0,0.0,0.0,0.0,23508.0,0.0,22439.0,0.0,21905.0,0.0,0,0.0,22498.0,0.0,22618.0
Brookline College-Phoenix,Phoenix,11,9,0.0,32422.0,0.0,0.0,0.0,0.0,0.0,36627.0,0.0,36627.0,0.0,0,0.0,32422.0,0.0,32057.0
Arizona State University Campus Immersion,Tempe,13,16,12814.0,0.0,18953.0,20167.0,15308.0,0.0,12683.0,0.0,10693.0,0.0,20904.0,0,9506.0,0.0,8920.0,0.0
Arizona Western College,Yuma,1,3,10135.0,0.0,13848.0,13723.0,12163.0,0.0,11055.0,0.0,10371.0,0.0,13598.0,0,9733.0,0.0,9465.0,0.0
University of Arizona,Tucson,13,15,15601.0,0.0,20338.0,21044.0,16773.0,0.0,15312.0,0.0,14027.0,0.0,21455.0,0,12262.0,0.0,11237.0,0.0
Central Arizona College,Coolidge,1,3,5491.0,0.0,10402.0,10402.0,6839.0,0.0,6067.0,0.0,5597.0,0.0,0.0,0,5038.0,0.0,4603.0,0.0
