School Name,Student Count,"Standardized Test required? (1:Required, 2:Recommended, 3:Neither required nor recommended , 4:Do not know, 5: Considered but not required)",Admission Rate,4Yr Uni Completion Rates,% White Students,% Hispanic Students,% Black Students,% AIAN Students,% Female Students,% Male Students
Arizona Christian University,1012.0,5.0,75.94,35.83,46.339999999999996,28.060000000000002,10.67,1.48,38.74,61.260000000000005
Universal Technical Institute of Arizona Inc,1995.0,0.0,0.0,0.0,26.919999999999998,21.349999999999998,2.41,3.8600000000000003,4.41,95.59
Yavapai College,4004.0,0.0,0.0,0.0,62.160000000000004,21.45,1.25,2.4,60.14000000000001,39.86
University of Arkansas at Little Rock,5025.0,1.0,57.69,39.879999999999995,49.17,2.8899999999999997,25.21,0.9199999999999999,64.16,35.839999999999996
University of Arkansas for Medical Sciences,1072.0,0.0,0.0,0.0,64.27000000000001,8.49,11.85,0.27999999999999997,85.45,14.549999999999999
Arkansas Baptist College,414.0,0.0,0.0,9.17,8.21,3.38,79.71000000000001,0.24,21.740000000000002,78.25999999999999
Arkansas Beauty School-Little Rock,28.0,0.0,0.0,0.0,21.43,21.43,57.14,0.0,92.86,7.140000000000001
Arkansas Beauty College,33.0,0.0,0.0,0.0,75.76,18.18,3.0300000000000002,0.0,100.0,0.0
Lyon College,576.0,5.0,27.21,45.540000000000006,57.47,9.55,6.419999999999999,1.04,41.15,58.85
Arkansas Technical School,62.0,0.0,0.0,0.0,11.29,3.2300000000000004,85.48,0.0,24.19,75.81
Arthur's Beauty College,25.0,0.0,0.0,0.0,76.0,8.0,12.0,4.0,96.0,4.0
University of Arkansas,24001.0,1.0,82.67,69.67999999999999,73.87,10.39,4.46,0.77,56.08,43.919999999999995
University of Arkansas at Pine Bluff,2444.0,1.0,67.53,40.75,2.86,2.21,90.42999999999999,0.53,59.12,40.88
Arkansas State University-Beebe,1787.0,0.0,0.0,0.0,84.28,5.26,5.71,0.5,63.46000000000001,36.54
Arkansas State University,7478.0,1.0,63.29,53.839999999999996,71.13000000000001,4.44,14.000000000000002,0.27999999999999997,62.72,37.28
Arkansas Tech University,6467.0,2.0,94.37,45.78,72.99,9.71,7.21,0.76,55.900000000000006,44.1
University of Arkansas at Monticello,1946.0,0.0,0.0,33.01,52.059999999999995,7.04,29.29,0.15,58.53,41.47
Arthur's Beauty College,38.0,0.0,0.0,0.0,68.42,2.63,28.95,0.0,100.0,0.0
Baptist Health College Little Rock,666.0,1.0,0.0,0.0,59.61,6.460000000000001,28.83,0.44999999999999996,87.83999999999999,12.16
Black River Technical College,1068.0,0.0,0.0,0.0,89.79,3.65,3.09,0.09,68.26,31.740000000000002
University of Central Arkansas,7763.0,5.0,92.36999999999999,49.4,65.71000000000001,6.419999999999999,16.71,0.3,61.57,38.43
Central Baptist College,546.0,1.0,61.6,38.89,61.9,9.71,15.75,1.28,45.24,54.76
Cossatot Community College of the University of Arkansas,858.0,0.0,0.0,0.0,52.1,26.810000000000002,15.15,1.05,69.11,30.89
Crowley's Ridge College,170.0,0.0,0.0,23.080000000000002,77.64999999999999,1.18,19.41,0.0,44.12,55.879999999999995
East Arkansas Community College,606.0,0.0,0.0,0.0,48.84,2.31,44.72,0.33,72.44,27.560000000000002
Eastern College of Health Vocations-Little Rock,62.0,0.0,0.0,0.0,16.13,3.2300000000000004,80.65,0.0,98.39,1.6099999999999999
Paul Mitchell the School-Little Rock,330.0,0.0,0.0,0.0,60.3,9.700000000000001,22.73,3.64,93.64,6.36
National Park College,1903.0,0.0,0.0,0.0,71.83,11.559999999999999,11.61,1.63,62.11,37.89
University of Arkansas Community College-Batesville,698.0,0.0,0.0,0.0,81.95,8.02,2.58,0.72,69.77,30.23
Harding University,3262.0,1.0,54.14,67.17,79.61,3.8899999999999997,5.1499999999999995,0.37,55.82,44.18
